"Species","x","y","bio1","bio3","bio7","bio8","bio9","bio14","bio15","bio18"
"Reynoutria_japonica",-0.0626396085999996,45.0623605709,13.9020509719849,36.5338935852051,23.2711334228516,7.95501041412354,20.438232421875,45.3921890258789,17.1023273468018,159.595016479492
"Reynoutria_japonica",-0.1459729416,40.6456939219,12.4496593475342,36.1407661437988,26.1997814178467,13.2106618881226,20.5013561248779,23.943717956543,36.0755004882812,101.815719604492
"Reynoutria_japonica",-0.1459729416,42.9790272459,9.50235462188721,37.6628456115723,25.2171859741211,3.4111750125885,16.5844287872314,68.308708190918,18.2968807220459,221.407165527344
"Reynoutria_japonica",-0.1459729416,51.6456938779,10.6570682525635,34.605785369873,18.5867195129395,6.31002521514893,6.93950891494751,40.5889892578125,14.9217004776001,159.425796508789
"Reynoutria_japonica",-0.1876396081,42.7290272469,1.99289059638977,38.2674942016602,25.3098258972168,-3.9015576839447,9.0613899230957,69.9064483642578,20.2419033050537,238.921234130859
"Reynoutria_japonica",-0.1876396081,43.4373605774,13.7018814086914,37.5655822753906,24.453929901123,7.65491008758545,20.5422172546387,62.9707298278809,17.2483882904053,210.638397216797
"Reynoutria_japonica",-0.2709729411,40.1456939239,14.377833366394,33.5676574707031,24.0272769927979,15.2682104110718,22.0935249328613,15.2875299453735,43.0733413696289,73.5468215942383
"Reynoutria_japonica",-0.3126396076,46.7290272309,11.8332567214966,36.7103805541992,22.4902019500732,6.31111669540405,18.1330642700195,43.909740447998,19.7028751373291,149.360092163086
"Reynoutria_japonica",-0.354306274100001,40.1456939239,12.8562488555908,34.3569641113281,24.5130062103271,13.7141208648682,20.6274471282959,15.7440938949585,42.2440185546875,80.3616027832031
"Reynoutria_japonica",-0.354306274100001,41.2290272529,16.5164222717285,36.5425567626953,28.6629447937012,19.0562133789062,8.56948852539062,18.8234348297119,27.9306221008301,79.536376953125
"Reynoutria_japonica",-0.437639607099999,42.6873605804,3.85341644287109,38.3036766052246,25.3822402954102,0.730191469192505,11.3837461471558,69.6826324462891,24.1281604766846,246.939300537109
"Reynoutria_japonica",-0.437639607099999,43.8123605759,14.5500221252441,37.582347869873,23.435152053833,8.70351409912109,21.1147766113281,48.786449432373,22.2224941253662,170.585983276367
"Reynoutria_japonica",-0.437639607099999,46.9373605634,12.0203619003296,36.7478942871094,22.3179950714111,9.1102123260498,18.2776889801025,43.8912925720215,18.3824481964111,147.846115112305
"Reynoutria_japonica",-0.562639606599999,43.3540272444,14.5421075820923,37.7838668823242,24.1393527984619,8.5768985748291,21.3166751861572,63.7817420959473,18.6641426086426,218.580139160156
"Reynoutria_japonica",-0.604306273100001,42.6873605804,8.22792720794678,38.0495529174805,25.5430583953857,2.09262132644653,15.8477764129639,56.4980697631836,31.3994750976562,208.567993164062
"Reynoutria_japonica",-0.604306273100001,44.0206939084,14.3197412490845,37.131721496582,22.6206111907959,8.65714836120605,21.1102695465088,50.7695999145508,23.5134239196777,173.298538208008
"Reynoutria_japonica",-0.6459729396,41.0206939204,14.3053913116455,36.652214050293,28.394323348999,16.7117309570312,6.51090383529663,16.8091297149658,31.2651138305664,82.9980239868164
"Reynoutria_japonica",-0.687639606099999,40.3123605899,9.02840137481689,36.8960304260254,26.7162075042725,9.75114917755127,1.7899295091629,21.7635765075684,35.4944915771484,104.99633026123
"Reynoutria_japonica",-0.687639606099999,43.1040272454,13.0062379837036,37.9532928466797,24.5765552520752,6.96868991851807,19.9022617340088,76.5566101074219,22.000804901123,261.286010742188
"Reynoutria_japonica",-0.729306272600001,42.1456939159,14.312349319458,36.8936882019043,27.3629837036133,14.9242324829102,22.0808162689209,25.7763767242432,24.5563945770264,101.025505065918
"Reynoutria_japonica",-0.729306272600001,44.4790272399,14.1901998519897,35.8356437683105,21.4531192779541,8.74643611907959,20.7545528411865,51.0883750915527,23.0893516540527,175.538162231445
"Reynoutria_japonica",-0.729306272600001,44.8123605719,14.0142755508423,35.4967613220215,21.2899684906006,8.60469341278076,18.9174156188965,47.2336006164551,21.8999309539795,164.042175292969
"Reynoutria_japonica",-0.729306272600001,52.3540272084,10.2439031600952,35.5269165039062,19.0050239562988,16.1899566650391,6.62452077865601,38.6770820617676,14.8182401657104,162.933181762695
"Reynoutria_japonica",-0.7709729391,42.4790272479,11.1843748092651,37.6600189208984,26.2120208740234,11.9042568206787,18.5680675506592,51.9370346069336,22.1195678710938,193.312469482422
"Reynoutria_japonica",-0.812639605599999,44.9373605714,13.951868057251,34.770435333252,20.728931427002,8.65692901611328,18.7552623748779,44.7870101928711,24.169584274292,156.626159667969
"Reynoutria_japonica",-0.812639605599999,50.8123605479,11.3933095932007,31.8932781219482,16.4367046356201,7.53764247894287,12.5923795700073,46.6441421508789,25.3052864074707,181.780990600586
