"x","y"
7.485,48.25411
7.2296,48.09836
-0.70843,43.16165
7.46989,48.22101
-1.34437,43.26766
3.53674,45.54832
0.25822,43.10929
3.67333,46.05943
7.37031,48.29578
2.33107,47.9026
7.39233,48.17365
7.19554,48.01066
5.8524,46.61657
5.83091,45.85419
-0.89252,49.18901
5.99746,46.90681
5.95817,46.60939
6.29979,47.27851
3.12169,45.26633
7.45682,48.21224
2.87211,45.99974
6.54897,47.20135
7.3303,48.1208
7.39004,48.30207
1.67598,48.71712
5.82801,45.81869
7.33006,47.92685
4.72287,47.83002
6.65986,47.26711
7.38241,48.29112
-0.48904,48.6254
3.79311,45.9817
7.80469,48.86589
5.73727,45.57082
6.29158,47.30711
3.89088,45.51898
4.96899,45.70327
5.89013,47.05578
2.65895,48.77612
-0.54798,48.58904
6.68086,47.26299
6.25814,47.28018
7.23687,48.08132
4.88913,48.70955
6.14673,47.17499
5.57308,47.85113
7.18942,47.95713
3.14188,45.7978
2.62064,49.25228
2.88972,46.01497
7.71202,48.42382
2.42854,47.29512
3.19034,45.27584
8.793334,46.16778
2.75356,42.49484
2.83564,42.522
2.77663,42.85061
19.883333,50.05
17.955883,59.227133
17.808717,59.17485
17.8336,59.494933
17.80775,59.100389
17.9176,59.11915
15.88295,58.586717
-2.31053,53.64279
-1.54965,54.53575
-2.33101,53.52988
-1.45352,53.37769
-2.39515,53.59743
-3.909245,50.77853
-2.312986,53.798446
-1.882427,53.82957
-1.486431,53.475649
-2.514248,53.599276
-1.367186,53.423569
-4.28294,55.95458
0.118146,51.187507
-1.581301,54.884164
-2.36347,53.55601
-3.928252,52.324733
0.012015,51.995123
0.69074,51.723011
-1.33703,53.736392
-3.799383,53.097498
-3.475317,55.898273
-2.624361,53.384319
-2.08791,51.59962
-1.874792,52.421201
-1.457896,53.555515
-1.801813,53.791416
-2.61941,53.57188
-2.40101,53.57857
-2.031075,55.296401
-2.253115,53.090242
-3.626815,50.565954
-2.533815,53.480973
-1.3602,52.73881
-3.131084,56.204257
-1.80751,53.64039
-1.543632,55.07701
-1.481327,53.358939
